rowid,fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,payee_name_clean,payee_zip5,payee_name_refined,slug
1,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CITIBANK NA,06152-1328,19914754,NA,NA,CITIBANK NA,06152,CITIBANK NA,allegany-county
2,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,JEFFERSON SCHOOL - MAIN CAMPUS,21279-0751,3340238.27,NA,NA,JEFFERSON SCHOOL - MAIN CAMPUS,21279,JEFFERSON SCHOOL,allegany-county
3,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MARYLAND STATE RETIREMENT & PENSION SYSTEM,21202,2540451,NA,NA,MARYLAND STATE RETIREMENT & PENSION SYSTEM,21202,MARYLAND STATE RETIREMENT & PENSION SYSTEM,allegany-county
4,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ACT 1ST FEDERAL CREDIT UNION,21502,1920730.52,NA,NA,ACT 1ST FEDERAL CREDIT UNION,21502,ACT 1ST FEDERAL CREDIT UNION,allegany-county
5,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,SCHOOL THERAPY SERVICES,21532,1591892.19,NA,NA,SCHOOL THERAPY SERVICES,21532,SCHOOL THERAPY SERVICES INC,allegany-county
6,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,WELLS FARGO BANK,32202,1566776.54,NA,NA,WELLS FARGO BANK,32202,WELLS FARGO BANK,allegany-county
7,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,THE POTOMAC EDISON COMPANY,44309-3615,1316857.48,NA,NA,THE POTOMAC EDISON COMPANY,44309,THE POTOMAC EDISON COMPANY,allegany-county
8,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,MARYLAND STATE RETIREMENT & PENSION SYST,21202,1301852,NA,NA,MARYLAND STATE RETIREMENT & PENSION SYST,21202,MARYLAND STATE RETIREMENT & PENSION SYSTEM,allegany-county
9,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CHLIC (CIGNA),15264-4546,1016239.29,NA,NA,CHLIC (CIGNA),15264,CHLIC (CIGNA),allegany-county
10,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,ALLEGANY COUNTY HEALTH DEPARTMENT,21502,1001721.8,NA,NA,ALLEGANY COUNTY HEALTH DEPARTMENT,21502,ALLEGANY COUNTY HEALTH DEPARTMENT,allegany-county
11,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DORI FOODS INC,23230,780155.77,NA,NA,DORI FOODS INC,23230,DORI FOODS INC,allegany-county
12,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,BARNES SCHOOL BUS SERVICE,21543,766449,NA,NA,BARNES SCHOOL BUS SERVICE,21543,BARNES SCHOOL BUS SERVICE,allegany-county
13,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,CHP TRUCK AND BUS INC,21502,680183.23,NA,NA,CHP TRUCK AND BUS INC,21502,CHP TRUCK AND BUS INC,allegany-county
14,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DELTA DENTAL,17055,644735.84,NA,NA,DELTA DENTAL,17055,DELTA DENTAL,allegany-county
15,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,DALY COMPUTERS INC,22116,527459.94,NA,NA,DALY COMPUTERS INC,22116,DALY COMPUTERS INC,allegany-county
16,2019,ALLEGANY COUNTY PUBLIC SCHOOLS,STONESTREET BUSING LLC,21530,505751,NA,NA,STONESTREET BUSING LLC,21530,STONESTREET BUSING LLC,allegany-county
